root,shuffled,id,valid_words,length,Set
have,veah,001,['have'],4,SetA
about,utabo,002,['about'],5,SetA
people,eplepo,003,['people'],6,SetA
will,wlli,004,['will'],4,SetA
there,hrete,005,"['ether', 'there', 'three']",5,SetA
around,runoda,006,"['arundo', 'around']",6,SetA
just,usjt,007,['just'],4,SetA
other,otrhe,008,"['other', 'throe']",5,SetA
better,etertb,009,['better'],6,SetA
like,elik,010,['like'],4,SetA
first,rfist,011,['first'],5,SetA
always,awylsa,012,['always'],6,SetA
more,orem,013,"['more', 'rome']",4,SetA
after,afret,014,['after'],5,SetA
little,lettil,015,['little'],6,SetA
time,mite,016,"['mite', 'emit', 'item', 'time']",4,SetA
think,nihkt,017,['think'],5,SetA
things,igsthn,018,['things'],6,SetA
some,mseo,019,['some'],4,SetA
right,htrig,020,"['girth', 'right']",5,SetA
school,ocsloh,021,['school'],6,SetA
good,gdoo,022,['good'],4,SetA
being,egbni,023,"['being', 'begin']",5,SetA
please,lpeaes,024,"['asleep', 'please', 'elapse']",6,SetA
only,lnoy,025,"['lyon', 'only']",4,SetA
going,ingog,026,['going'],5,SetA
family,lmifay,027,['family'],6,SetA
know,nokw,028,['know'],4,SetA
still,lsitl,029,['still'],5,SetA
second,doescn,030,['second'],6,SetA
over,rvoe,031,['over'],4,SetA
never,eevnr,032,"['verne', 'never', 'nerve']",5,SetA
number,eubmrn,033,['number'],6,SetA
make,ekma,034,['make'],4,SetA
world,ldowr,035,['world'],5,SetA
public,lpcuib,036,['public'],6,SetA
then,htne,037,['then'],4,SetA
great,etarg,038,"['great', 'grate']",5,SetA
system,tsmyes,039,['system'],6,SetA
back,bcak,040,['back'],4,SetA
while,iwhle,041,['while'],5,SetA
person,nserop,042,['person'],6,SetA
want,nwat,043,['want'],4,SetA
every,eeyvr,044,"['every', 'veery']",5,SetA
enough,uhoeng,045,['enough'],6,SetA
well,elwl,046,['well'],4,SetA
three,teehr,047,"['ether', 'there', 'three']",5,SetA
change,gehnca,048,['change'],6,SetA
much,hcmu,049,"['chum', 'much']",4,SetA
state,eastt,050,"['state', 'taste', 'testa']",5,SetA
making,aingkm,051,['making'],6,SetA
most,stmo,052,['most'],4,SetA
under,eudrn,053,['under'],5,SetA
though,huhtog,054,['though'],6,SetA
very,evry,055,['very'],4,SetA
thing,hgint,056,"['thing', 'night']",5,SetA
season,sanseo,057,['season'],6,SetA
even,eenv,058,"['even', 'neve']",4,SetA
house,uhseo,059,['house'],5,SetA
trying,gritny,060,['trying'],6,SetA
here,rehe,061,['here'],4,SetA
place,cplae,062,['place'],5,SetA
united,etunid,063,"['united', 'untied']",6,SetA
need,edne,064,"['eden', 'need']",4,SetA
again,gaani,065,['again'],5,SetA
course,osrecu,066,"['crouse', 'source', 'cerous', 'course']",6,SetA
work,okwr,067,['work'],4,SetA
found,fuond,068,['found'],5,SetA
health,ahtelh,069,['health'],6,SetA
year,aery,070,['year'],4,SetA
might,thmgi,071,['might'],5,SetA
thanks,aknhts,072,['thanks'],6,SetA
made,emad,073,"['edam', 'made', 'dame', 'mead']",4,SetA
money,oyemn,074,['money'],5,SetA
social,aolcis,075,['social'],6,SetA
take,ktea,076,"['teak', 'take']",4,SetA
night,tihgn,077,"['thing', 'night']",5,SetA
single,segiln,078,['single'],6,SetA
many,yamn,079,"['myna', 'many']",4,SetA
group,pguro,080,['group'],5,SetA
office,ieffco,081,['office'],6,SetA
life,ilfe,082,"['life', 'file']",4,SetA
start,sttra,083,['start'],5,SetA
become,bmcoee,084,['become'],6,SetA
down,odwn,085,['down'],4,SetA
times,sitem,086,"['smite', 'times', 'metis']",5,SetA
pretty,rtytep,087,['pretty'],6,SetA
last,tlsa,088,"['salt', 'slat', 'last', 'lats']",4,SetA
today,dotya,089,['today'],5,SetA
matter,tremta,090,['matter'],6,SetA
best,stbe,091,['best'],4,SetA
point,itonp,092,"['pinto', 'piton', 'point', 'pinot']",5,SetA
saying,iyasgn,093,['saying'],6,SetA
such,cuhs,094,['such'],4,SetA
music,icums,095,['music'],5,SetA
friend,fedrni,096,"['finder', 'friend']",6,SetA
love,loev,097,"['vole', 'love']",4,SetA
power,rpoew,098,['power'],5,SetA
wanted,adenwt,099,['wanted'],6,SetA
long,ongl,100,['long'],4,SetA
water,trwea,101,['water'],5,SetA
series,reessi,102,['series'],6,SetA
home,meoh,103,['home'],4,SetA
white,hwtei,104,"['withe', 'white']",5,SetA
future,fuurte,105,['future'],6,SetA
look,oolk,106,['look'],4,SetA
small,msall,107,['small'],5,SetA
either,terhie,108,['either'],6,SetA
same,sema,109,"['mesa', 'seam', 'same']",4,SetA
based,bsdea,110,"['based', 'beads']",5,SetA
police,cipelo,111,['police'],6,SetA
used,esdu,112,"['duse', 'used']",4,SetA
later,alter,113,"['alter', 'later', 'ratel', 'alert']",5,SetA
rather,ahterr,114,['rather'],6,SetA
both,ohtb,115,['both'],4,SetA
order,odrer,116,['order'],5,SetA
reason,senora,117,"['senora', 'reason']",6,SetA
part,tpar,118,"['part', 'trap']",4,SetA
party,tyarp,119,['party'],5,SetA
report,rtorpe,120,"['report', 'porter']",6,SetA
come,emoc,121,['come'],4,SetA
thank,nthak,122,['thank'],5,SetA
living,vlinig,123,['living'],6,SetA
find,ndif,124,['find'],4,SetA
black,lkcab,125,['black'],5,SetA
behind,ebhdin,126,['behind'],6,SetA
high,hihg,127,['high'],4,SetA
whole,wohel,128,['whole'],5,SetA
market,mekatr,129,['market'],6,SetA
help,ehpl,130,['help'],4,SetA
story,rtsoy,131,['story'],5,SetA
former,fromer,132,"['former', 'reform']",6,SetA
game,emga,133,['game'],4,SetA
least,eatsl,134,"['least', 'stael', 'steal', 'stale', 'tesla', 'lates', 'slate']",5,SetA
street,etestr,135,"['setter', 'street', 'tester']",6,SetA
give,gvei,136,['give'],4,SetA
means,asemn,137,"['manse', 'means', 'manes', 'mensa']",5,SetA
london,ldonno,138,['london'],6,SetA
next,xtne,139,['next'],4,SetA
early,ayrle,140,"['early', 'leary', 'relay', 'layer']",5,SetA
chance,cnaehc,141,['chance'],6,SetA
each,ehac,142,"['each', 'ache']",4,SetA
local,clloa,143,['local'],5,SetA
father,feraht,144,['father'],6,SetA
must,msut,145,"['must', 'smut', 'tums']",4,SetA
young,noyug,146,['young'],5,SetA
across,aosrcs,147,['across'],6,SetA
show,hswo,148,['show'],4,SetA
video,edvoi,149,['video'],5,SetA
action,noitca,150,"['atonic', 'action', 'cation']",6,SetA
sure,resu,151,"['sure', 'suer', 'ruse', 'user']",4,SetB
given,nevgi,152,['given'],5,SetB
mother,toherm,153,['mother'],6,SetB
feel,efel,154,"['feel', 'flee']",4,SetB
level,lleve,155,['level'],5,SetB
moment,mnomet,156,['moment'],6,SetB
team,aemt,157,"['tame', 'meat', 'team', 'mate']",4,SetB
often,toenf,158,['often'],5,SetB
played,lapeyd,159,['played'],6,SetB
ever,erve,160,"['ever', 'veer']",4,SetB
court,ouctr,161,['court'],5,SetB
energy,greeny,162,['energy'],6,SetB
keep,epke,163,"['peek', 'keep']",4,SetB
south,tshou,164,"['south', 'shout']",5,SetB
summer,urmmes,165,['summer'],6,SetB
free,efre,166,"['reef', 'free']",4,SetB
death,htead,167,['death'],5,SetB
strong,stgron,168,['strong'],6,SetB
away,aawy,169,['away'],4,SetB
hours,oshru,170,"['horus', 'hours']",5,SetB
record,deorrc,171,['record'],6,SetB
left,eftl,172,"['left', 'felt']",4,SetB
large,geral,173,"['lager', 'glare', 'elgar', 'alger', 'large']",5,SetB
period,driope,174,['period'],6,SetB
play,ypla,175,['play'],4,SetB
wrong,orwng,176,['wrong'],5,SetB
common,ocmmon,177,['common'],6,SetB
name,amen,178,"['amen', 'mean', 'name', 'mane']",4,SetB
known,konnw,179,['known'],5,SetB
likely,iylkle,180,['likely'],6,SetB
city,yict,181,['city'],4,SetB
along,lnoag,182,"['along', 'logan']",5,SetB
center,netrec,183,"['tenrec', 'center', 'recent']",6,SetB
days,ydsa,184,['days'],4,SetB
close,slcoe,185,"['close', 'socle']",5,SetB
inside,sidien,186,['inside'],6,SetB
real,aerl,187,"['lear', 'earl', 'real']",4,SetB
class,sclas,188,['class'],5,SetB
return,rnertu,189,"['return', 'turner']",6,SetB
